t_s,ax_g,ay_g,az_g,speed_kph
0.000000,0.02586,0.01220,0.00049,60.0000
0.001200,0.02733,0.01366,0.00195,60.0000
0.002401,0.02586,0.01074,0.00195,60.0000
0.003601,0.02098,0.01318,0.00195,60.0000
0.004802,0.02782,0.01318,-0.00098,60.0000
0.006002,0.02635,0.01074,0.00146,60.0000
0.007203,0.02342,0.00976,-0.00146,60.0000
0.008403,0.02684,0.00878,-0.00293,60.0000
0.009604,0.02586,0.00634,-0.00439,60.0000
0.010804,0.02586,0.00537,-0.00098,60.0000
0.012005,0.02489,0.01415,0.00000,60.0000
0.013205,0.02684,0.01025,0.00439,60.0000
0.014406,0.02294,0.00830,-0.00195,60.0000
0.015606,0.02440,0.01464,0.00390,60.0000
0.016807,0.02342,0.01318,-0.00537,60.0000
0.018007,0.02684,0.01025,-0.00098,60.0000
0.019208,0.02489,0.01318,0.00634,60.0000
0.020408,0.02391,0.00976,-0.00146,60.0000
0.021609,0.02245,0.01122,-0.00342,60.0000
0.022809,0.02440,0.01562,-0.00342,60.0000
0.024010,0.02489,0.01318,0.00634,60.0000
0.025210,0.02440,0.00927,0.00342,60.0000
0.026411,0.02879,0.01220,-0.00195,60.0000
0.027611,0.02782,0.01366,-0.00195,60.0000
0.028812,0.01708,0.00976,-0.00781,60.0000
0.030012,0.01952,0.00878,-0.00098,60.0000
0.031212,0.02440,0.01562,0.00439,60.0000
0.032413,0.02391,0.00927,-0.00634,60.0000
0.033613,0.02586,0.00634,0.00293,60.0000
0.034814,0.02586,0.01074,0.00146,60.0000
0.036014,0.03123,0.01708,0.00439,60.0000
0.037215,0.02147,0.01220,-0.00195,60.0000
0.038415,0.02391,0.01318,0.00049,60.0000
0.039616,0.03123,0.00390,0.00390,60.0000
0.040816,0.02684,0.00878,0.00098,60.0000
0.042017,0.02684,0.01415,0.00195,60.0000
0.043217,0.02342,0.00927,-0.00146,60.0000
0.044418,0.02001,0.01415,-0.00098,60.0000
0.045618,0.02538,0.01171,-0.00195,60.0000
0.046819,0.02538,0.01171,0.00000,60.0000
0.048019,0.02147,0.01562,-0.00000,60.0000
0.049220,0.02294,0.00878,-0.00098,60.0000
0.050420,0.02489,0.00878,-0.00683,60.0000
0.051621,0.02196,0.01074,-0.00439,60.0000
0.052821,0.02489,0.01122,-0.00049,60.0000
0.054022,0.02538,0.00537,0.00342,60.0000
0.055222,0.02489,0.01415,-0.00293,60.0000
0.056423,0.02342,0.01122,-0.00195,60.0000
0.057623,0.02684,0.00976,-0.00049,60.0000
0.058824,0.02782,0.01220,0.00244,60.0000
0.060024,0.02586,0.00927,0.00488,60.0000
0.061224,0.02245,0.01415,0.00049,60.0000
0.062425,0.02733,0.01074,-0.00049,60.0000
0.063625,0.02342,0.01269,-0.00244,60.0000
0.064826,0.02782,0.00781,0.00098,60.0000
0.066026,0.02196,0.00976,-0.00098,60.0000
0.067227,0.02782,0.01171,0.00000,60.0000
0.068427,0.02489,0.00781,-0.00293,60.0000
0.069628,0.02147,0.00830,0.00293,60.0000
0.070828,0.02391,0.01025,-0.00146,60.0000
0.072029,0.02538,0.01366,-0.00488,60.0000
0.073229,0.02586,0.01269,-0.00049,60.0000
0.074430,0.02196,0.01318,-0.00342,60.0000
0.075630,0.02147,0.01122,0.00146,60.0000
0.076831,0.02538,0.01318,0.00390,60.0000
0.078031,0.02342,0.01513,0.00146,60.0000
0.079232,0.02586,0.01074,-0.00049,60.0000
0.080432,0.02733,0.01171,-0.00293,60.0000
0.081633,0.02001,0.01220,-0.00195,60.0000
0.082833,0.02586,0.00439,0.00634,60.0000
0.084034,0.02879,0.01025,0.00293,60.0000
0.085234,0.02391,0.01171,-0.00342,60.0000
0.086435,0.02245,0.01269,-0.00293,60.0000
0.087635,0.02733,0.00927,0.00098,60.0000
0.088836,0.02586,0.01318,0.00000,60.0000
0.090036,0.02782,0.00830,0.00000,60.0000
0.091236,0.02391,0.00976,0.00146,60.0000
0.092437,0.02050,0.01562,-0.00342,60.0000
0.093637,0.02489,0.00634,-0.00244,60.0000
0.094838,0.02342,0.01025,0.00293,60.0000
0.096038,0.02733,0.00976,0.00098,60.0000
0.097239,0.02538,0.01025,-0.00098,60.0000
0.098439,0.02001,0.00878,-0.00049,60.0000
0.099640,0.02147,0.01220,0.00195,60.0000
0.100840,0.02782,0.00732,0.00098,60.0000
0.102041,0.02684,0.00634,-0.00195,60.0000
0.103241,0.02294,0.01171,-0.00342,60.0000
0.104442,0.02489,0.00683,0.00244,60.0000
0.105642,0.02635,0.01122,-0.00390,60.0000
0.106843,0.02635,0.01025,0.00586,60.0000
0.108043,0.02782,0.00830,-0.00342,60.0000
0.109244,0.02586,0.00927,-0.00195,60.0000
0.110444,0.02489,0.00976,0.00342,60.0000
0.111645,0.02440,0.01171,0.00439,60.0000
0.112845,0.02830,0.00830,0.00000,60.0000
0.114046,0.01806,0.00976,-0.00830,60.0000
0.115246,0.02440,0.00586,-0.00049,60.0000
0.116447,0.02489,0.00927,-0.00634,60.0000
0.117647,0.02050,0.00439,-0.00146,60.0000
0.118848,0.02586,0.01025,0.00244,60.0000
0.120048,0.02294,0.00878,0.00244,60.0000
0.121248,0.02782,0.01659,0.00049,60.0000
0.122449,0.02440,0.01415,0.00049,60.0000
0.123649,0.02684,0.00976,0.00195,60.0000
0.124850,0.02879,0.01318,-0.00146,60.0000
0.126050,0.02635,0.01122,-0.00098,60.0000
0.127251,0.02245,0.00683,0.00342,60.0000
0.128451,0.02050,0.00293,0.00146,60.0000
0.129652,0.03026,0.01366,0.00342,60.0000
0.130852,0.02489,0.01122,0.00098,60.0000
0.132053,0.02294,0.00439,0.00098,60.0000
0.133253,0.02538,0.01220,0.00244,60.0000
0.134454,0.02440,0.01269,0.00195,60.0000
0.135654,0.02733,0.00830,0.00488,60.0000
0.136855,0.02489,0.01269,0.00195,60.0000
0.138055,0.02489,0.00488,-0.00146,60.0000
0.139256,0.02294,0.00927,-0.00146,60.0000
0.140456,0.02635,0.01025,-0.00293,60.0000
0.141657,0.02196,0.01269,0.00049,60.0000
0.142857,0.02684,0.01122,-0.00195,60.0000
0.144058,0.02977,0.01074,-0.00390,60.0000
0.145258,0.02050,0.01171,0.00195,60.0000
0.146459,0.01757,0.00830,0.00439,60.0000
0.147659,0.02684,0.01464,-0.00488,60.0000
0.148860,0.03270,0.00927,0.00293,60.0000
0.150060,0.02196,0.01269,0.00049,60.0000
0.151261,0.02147,0.01025,-0.00293,60.0000
0.152461,0.02684,0.00927,-0.00195,60.0000
0.153661,0.02245,0.01171,-0.00049,60.0000
0.154862,0.02342,0.01122,0.00683,60.0000
0.156062,0.02391,0.01415,0.00049,60.0000
0.157263,0.02684,0.01318,0.00488,60.0000
0.158463,0.02391,0.00830,-0.00195,60.0000
0.159664,0.02586,0.01171,0.00293,60.0000
0.160864,0.02440,0.01025,0.00244,60.0000
0.162065,0.02245,0.00781,-0.00195,60.0000
0.163265,0.02391,0.00683,-0.00195,60.0000
0.164466,0.02196,0.01074,0.00146,60.0000
0.165666,0.02489,0.00830,-0.00488,60.0000
0.166867,0.02147,0.00586,-0.00000,60.0000
0.168067,0.02196,0.00976,-0.00390,60.0000
0.169268,0.02928,0.01074,-0.00000,60.0000
0.170468,0.02489,0.01025,0.00146,60.0000
0.171669,0.02489,0.00634,0.00195,60.0000
0.172869,0.02635,0.00830,0.00098,60.0000
0.174070,0.02391,0.01415,-0.00049,60.0000
0.175270,0.02440,0.00781,-0.00146,60.0000
0.176471,0.02635,0.00927,-0.00244,60.0000
0.177671,0.02586,0.01708,-0.00195,60.0000
0.178872,0.02147,0.01122,-0.00146,60.0000
0.180072,0.02733,0.00878,-0.00146,60.0000
0.181273,0.02342,0.00439,0.00049,60.0000
0.182473,0.02196,0.01122,-0.00195,60.0000
0.183673,0.02245,0.00586,-0.00488,60.0000
0.184874,0.02391,0.00976,0.00195,60.0000
0.186074,0.02977,0.00732,-0.00244,60.0000
0.187275,0.02147,0.00488,-0.00488,60.0000
0.188475,0.02538,0.01513,-0.00293,60.0000
0.189676,0.01854,0.00976,-0.00098,60.0000
0.190876,0.02489,0.01269,-0.00049,60.0000
0.192077,0.02782,0.01220,0.00049,60.0000
0.193277,0.02440,0.00781,0.00586,60.0000
0.194478,0.02294,0.01025,-0.00390,60.0000
0.195678,0.02586,0.00878,0.00488,60.0000
0.196879,0.02733,0.01269,0.00049,60.0000
0.198079,0.02684,0.01122,-0.00098,60.0000
0.199280,0.03074,0.00878,-0.00683,60.0000
0.200480,0.02586,0.01513,-0.00098,60.0000
0.201681,0.02342,0.01171,0.00195,60.0000
0.202881,0.02440,0.01122,-0.00342,60.0000
0.204082,0.02489,0.00781,-0.00488,60.0000
0.205282,0.02538,0.01122,-0.00390,60.0000
0.206483,0.02489,0.00586,0.00049,60.0000
0.207683,0.02538,0.01122,0.00000,60.0000
0.208884,0.02001,0.00732,0.00488,60.0000
0.210084,0.02733,0.01074,-0.00146,60.0000
0.211285,0.02342,0.00927,0.00244,60.0000
0.212485,0.02147,0.01074,-0.00390,60.0000
0.213685,0.02684,0.01122,-0.00098,60.0000
0.214886,0.02879,0.00976,0.00342,60.0000
0.216086,0.02635,0.00976,-0.00098,60.0000
0.217287,0.02538,0.00537,0.00146,60.0000
0.218487,0.02196,0.00439,-0.00390,60.0000
0.219688,0.03367,0.01366,-0.00293,60.0000
0.220888,0.02782,0.01171,-0.00195,60.0000
0.222089,0.02147,0.00537,-0.00342,60.0000
0.223289,0.02245,0.01562,-0.00146,60.0000
0.224490,0.02538,0.00781,0.00439,60.0000
0.225690,0.02050,0.01171,-0.00098,60.0000
0.226891,0.02538,0.01122,0.00049,60.0000
0.228091,0.02342,0.01025,0.00439,60.0000
0.229292,0.02879,0.01171,-0.00000,60.0000
0.230492,0.02782,0.00586,-0.00049,60.0000
0.231693,0.01708,0.00976,-0.00146,60.0000
0.232893,0.02489,0.00927,0.00342,60.0000
0.234094,0.02001,0.01025,0.00244,60.0000
0.235294,0.02830,0.00927,0.00634,60.0000
0.236495,0.02538,0.00830,0.00634,60.0000
0.237695,0.02684,0.00781,-0.00439,60.0000
0.238896,0.02196,0.01269,0.00244,60.0000
0.240096,0.03026,0.00732,0.00634,60.0000
0.241297,0.03123,0.01122,0.00098,60.0000
0.242497,0.02196,0.01122,0.00049,60.0000
0.243697,0.02635,0.00976,-0.00342,60.0000
0.244898,0.02294,0.01122,0.00342,60.0000
0.246098,0.02489,0.01171,-0.00293,60.0000
0.247299,0.02098,0.00830,0.00049,60.0000
0.248499,0.03074,0.01122,-0.00098,60.0000
0.249700,0.02196,0.01562,0.00146,60.0000
0.250900,0.02391,0.00683,-0.00146,60.0000
0.252101,0.02635,0.00927,-0.00146,60.0000
0.253301,0.02294,0.00781,0.00293,60.0000
0.254502,0.02440,0.01610,-0.00000,60.0000
0.255702,0.02342,0.00586,0.00293,60.0000
0.256903,0.02440,0.01025,-0.00195,60.0000
0.258103,0.02147,0.01269,0.00439,60.0000
0.259304,0.02391,0.00732,0.00146,60.0000
0.260504,0.02440,0.00976,0.00390,60.0000
0.261705,0.02391,0.00781,0.00244,60.0000
0.262905,0.02538,0.00586,-0.00488,60.0000
0.264106,0.02391,0.00976,-0.00781,60.0000
0.265306,0.02733,0.01171,0.00342,60.0000
0.266507,0.02391,0.00878,-0.00146,60.0000
0.267707,0.02440,0.01025,-0.00098,60.0000
0.268908,0.02294,0.01220,-0.00244,60.0000
0.270108,0.02342,0.01366,-0.00146,60.0000
0.271309,0.02098,0.00634,0.00098,60.0000
0.272509,0.02635,0.01171,0.00293,60.0000
0.273709,0.02147,0.00830,-0.00098,60.0000
0.274910,0.02294,0.00439,-0.00634,60.0000
0.276110,0.02586,0.00781,0.00195,60.0000
0.277311,0.02635,0.01171,0.00098,60.0000
0.278511,0.02391,0.01074,-0.00195,60.0000
0.279712,0.01903,0.00683,-0.00390,60.0000
0.280912,0.02635,0.01464,-0.00390,60.0000
0.282113,0.02586,0.01122,0.00390,60.0000
0.283313,0.02098,0.00976,-0.00195,60.0000
0.284514,0.02733,0.00830,0.00342,60.0000
0.285714,0.02294,0.01122,-0.00098,60.0000
0.286915,0.02147,0.00878,0.00244,60.0000
0.288115,0.02538,0.01318,-0.00293,60.0000
0.289316,0.02440,0.01074,-0.00390,60.0000
0.290516,0.02538,0.01171,-0.00049,60.0000
0.291717,0.02001,0.00927,-0.00537,60.0000
0.292917,0.03026,0.00537,-0.00390,60.0000
0.294118,0.02342,0.01171,0.00146,60.0000
0.295318,0.02050,0.00683,0.00488,60.0000
0.296519,0.02684,0.00976,0.00049,60.0000
0.297719,0.02391,0.00976,-0.00488,60.0000
0.298920,0.02586,0.00781,-0.00293,60.0000
0.300120,0.02391,0.01269,0.00049,60.0000
0.301321,0.02489,0.00586,-0.00049,60.0000
0.302521,0.02586,0.01464,0.00732,60.0000
0.303721,0.02294,0.00830,0.00586,60.0000
0.304922,0.02684,0.01269,-0.00098,60.0000
0.306122,0.02342,0.01366,0.00634,60.0000
0.307323,0.02245,0.00732,-0.00293,60.0000
0.308523,0.02538,0.00781,-0.00293,60.0000
0.309724,0.02635,0.01269,0.00439,60.0000
