t_s,ax_g,ay_g,az_g,speed_kph
0.000000,0.02586,0.01220,0.00049,40.0000
0.001200,0.02733,0.01366,0.00195,40.0000
0.002401,0.02586,0.01074,0.00195,40.0000
0.003601,0.02098,0.01318,0.00195,40.0000
0.004802,0.02782,0.01318,-0.00098,40.0000
0.006002,0.02635,0.01074,0.00146,40.0000
0.007203,0.02342,0.00976,-0.00146,40.0000
0.008403,0.02684,0.00878,-0.00293,40.0000
0.009604,0.02586,0.00634,-0.00439,40.0000
0.010804,0.02586,0.00537,-0.00098,40.0000
0.012005,0.02489,0.01415,0.00000,40.0000
0.013205,0.02684,0.01025,0.00439,40.0000
0.014406,0.02294,0.00830,-0.00195,40.0000
0.015606,0.02440,0.01464,0.00390,40.0000
0.016807,0.02342,0.01318,-0.00537,40.0000
0.018007,0.02684,0.01025,-0.00098,40.0000
0.019208,0.02489,0.01318,0.00634,40.0000
0.020408,0.02391,0.00976,-0.00146,40.0000
0.021609,0.02245,0.01122,-0.00342,40.0000
0.022809,0.02440,0.01562,-0.00342,40.0000
0.024010,0.02489,0.01318,0.00634,40.0000
0.025210,0.02440,0.00927,0.00342,40.0000
0.026411,0.02879,0.01220,-0.00195,40.0000
0.027611,0.02782,0.01366,-0.00195,40.0000
0.028812,0.01708,0.00976,-0.00781,40.0000
0.030012,0.01952,0.00878,-0.00098,40.0000
0.031212,0.02440,0.01562,0.00439,40.0000
0.032413,0.02391,0.00927,-0.00634,40.0000
0.033613,0.02586,0.00634,0.00293,40.0000
0.034814,0.02586,0.01074,0.00146,40.0000
0.036014,0.03123,0.01708,0.00439,40.0000
0.037215,0.02147,0.01220,-0.00195,40.0000
0.038415,0.02391,0.01318,0.00049,40.0000
0.039616,0.03123,0.00390,0.00390,40.0000
0.040816,0.02684,0.00878,0.00098,40.0000
0.042017,0.02684,0.01415,0.00195,40.0000
0.043217,0.02342,0.00927,-0.00146,40.0000
0.044418,0.02001,0.01415,-0.00098,40.0000
0.045618,0.02538,0.01171,-0.00195,40.0000
0.046819,0.02538,0.01171,0.00000,40.0000
0.048019,0.02147,0.01562,-0.00000,40.0000
0.049220,0.02294,0.00878,-0.00098,40.0000
0.050420,0.02489,0.00878,-0.00683,40.0000
0.051621,0.02196,0.01074,-0.00439,40.0000
0.052821,0.02489,0.01122,-0.00049,40.0000
0.054022,0.02538,0.00537,0.00342,40.0000
0.055222,0.02489,0.01415,-0.00293,40.0000
0.056423,0.02342,0.01122,-0.00195,40.0000
0.057623,0.02684,0.00976,-0.00049,40.0000
0.058824,0.02782,0.01220,0.00244,40.0000
0.060024,0.02586,0.00927,0.00488,40.0000
0.061224,0.02245,0.01415,0.00049,40.0000
0.062425,0.02733,0.01074,-0.00049,40.0000
0.063625,0.02342,0.01269,-0.00244,40.0000
0.064826,0.02782,0.00781,0.00098,40.0000
0.066026,0.02196,0.00976,-0.00098,40.0000
0.067227,0.02782,0.01171,0.00000,40.0000
0.068427,0.02489,0.00781,-0.00293,40.0000
0.069628,0.02147,0.00830,0.00293,40.0000
0.070828,0.02391,0.01025,-0.00146,40.0000
0.072029,0.02538,0.01366,-0.00488,40.0000
0.073229,0.02586,0.01269,-0.00049,40.0000
0.074430,0.02196,0.01318,-0.00342,40.0000
0.075630,0.02147,0.01122,0.00146,40.0000
0.076831,0.02538,0.01318,0.00390,40.0000
0.078031,0.02342,0.01513,0.00146,40.0000
0.079232,0.02586,0.01074,-0.00049,40.0000
0.080432,0.02733,0.01171,-0.00293,40.0000
0.081633,0.02001,0.01220,-0.00195,40.0000
0.082833,0.02586,0.00439,0.00634,40.0000
0.084034,0.02879,0.01025,0.00293,40.0000
0.085234,0.02391,0.01171,-0.00342,40.0000
0.086435,0.02245,0.01269,-0.00293,40.0000
0.087635,0.02733,0.00927,0.00098,40.0000
0.088836,0.02586,0.01318,0.00000,40.0000
0.090036,0.02782,0.00830,0.00000,40.0000
0.091236,0.02391,0.00976,0.00146,40.0000
0.092437,0.02050,0.01562,-0.00342,40.0000
0.093637,0.02489,0.00634,-0.00244,40.0000
0.094838,0.02342,0.01025,0.00293,40.0000
0.096038,0.02733,0.00976,0.00098,40.0000
0.097239,0.02538,0.01025,-0.00098,40.0000
0.098439,0.02001,0.00878,-0.00049,40.0000
